clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,gain,match_error,match_metric,limiter_target_dba
657761__kevp888__221029_2225_fr_malechoir,proposed,55.25490187587985,-34.65001548144793,16.53210986387885,0.12774760846070263,0.01904352258617373,0.37074161952977447,-0.10265864641263533,-0.32392151284108905,,,,
657761__kevp888__221029_2225_fr_malechoir,gain_matched_exposure,55.25490187587986,-34.42875261501947,16.44398006564294,0.13056938486349484,0.019662663856745897,0.07719824858045109,-0.10265864641262823,-0.10265864641262823,0.988250556741179,7.105427357601002e-15,laeq,
657761__kevp888__221029_2225_fr_malechoir,gain_matched_loudness,55.0336390094514,-34.65001548144793,16.44398006564294,0.12728528952599513,0.019168106401625213,0.2433778368964072,-0.32392151284108905,-0.32392151284108905,0.9633939714928972,0.0,lufs,
657761__kevp888__221029_2225_fr_malechoir,limiter_matched_exposure,55.35756052229249,-34.32609396860684,16.443980065642936,0.132121741771698,0.01989643590142243,0.0,0.0,0.0,,0.10265864641263533,laeq,72.0
657761__kevp888__221029_2225_fr_malechoir,limiter_matched_loudness,55.018650150102886,-34.60230449706708,14.558874642741145,0.10319816521435024,0.01930759781861082,0.1354758870410122,-0.33891037218960207,-0.27621052846023986,,0.0477109843808492,lufs,61.5
735157__jadis0x__simple-music-loop-bass-keys-drums,original,67.13417886822735,-19.340462751038828,17.974995595040212,1.006595790290737,0.12708822966687017,,,,,,,
735157__jadis0x__simple-music-loop-bass-keys-drums,proposed,66.98782395146532,-21.557608992242347,20.056619125847888,0.8472983167200048,0.084179314985367,0.7272952727923296,-0.1463549167620357,-2.217146241203519,,,,
735157__jadis0x__simple-music-loop-bass-keys-drums,gain_matched_exposure,66.98782395146532,-19.48681766780087,17.974995595040212,0.9897770143664202,0.12496476712311387,0.1463549167620362,-0.1463549167620357,-0.14635491676204282,0.9832914302974991,0.0,laeq,
735157__jadis0x__simple-music-loop-bass-keys-drums,gain_matched_loudness,64.91703262702383,-21.55760899224237,17.974995595040216,0.7798261560835988,0.09845732177755259,2.2153043654317752,-2.2171462412035225,-2.2171462412035403,0.7747162899005967,2.1316282072803006e-14,lufs,
735157__jadis0x__simple-music-loop-bass-keys-drums,limiter_matched_exposure,67.13417886822735,-19.340462751038828,17.974995595040212,1.006595790290737,0.12708822966687017,0.0,0.0,0.0,,0.1463549167620357,laeq,84.0
735157__jadis0x__simple-music-loop-bass-keys-drums,limiter_matched_loudness,64.6648642919343,-21.635459704303003,17.606589787507307,0.7447010467013216,0.09809626565126382,2.3750053327696263,-2.4693145762930584,-2.2949969532641745,,0.07785071206065552,lufs,69.0
739037__acoustiangel__acoustiangel,original,62.12761278666763,-25.369524732837093,20.78938112948989,0.5133056640625,0.04687130010317768,,,,,,,
739037__acoustiangel__acoustiangel,proposed,61.98567069035228,-25.895510289200747,21.20643583253368,0.4893764440581947,0.04259133659954356,0.233233293573714,-0.14194209631535415,-0.5259855563636542,,,,
739037__acoustiangel__acoustiangel,gain_matched_exposure,61.985670690352286,-25.511466829152443,20.789381129489893,0.5049855506832981,0.04611156850777188,0.12279761364729284,-0.14194209631534704,-0.1419420963153506,0.9837911132455595,7.105427357601002e-15,laeq,
739037__acoustiangel__acoustiangel,gain_matched_loudness,61.60162723030398,-25.895510289200743,20.789381129489893,0.48314420929058716,0.0441171777602171,0.45504309722818853,-0.5259855563636506,-0.5259855563636506,0.9412407520828752,3.552713678800501e-15,lufs,
739037__acoustiangel__acoustiangel,limiter_matched_exposure,62.12761278666763,-25.369524732837093,20.78938112948989,0.5133056640625,0.04687130010317768,0.0,0.0,0.0,,0.14194209631535415,laeq,84.0
739037__acoustiangel__acoustiangel,limiter_matched_loudness,61.463703216137844,-25.887853463643957,20.100010524661496,0.4560361888501381,0.04508154395115691,0.8272518781711409,-0.663909570529789,-0.5183287308068643,,0.007656825556789926,lufs,70.5
